,0,1
0,81.71073718,79.14
1,84.52524038,82.01
2,85.68709936,84.09
3,85.49679487,84.61
4,87.28966346,84.2
5,87.71033654,83.95
6,87.75040064,85.75
7,87.62019231,85.14
8,88.53165064,85.56
9,88.62179487,86.04
10,88.40144231,85.75
11,89.42307692,85.75
12,89.23277244,86.48
13,89.11258013,86.8
14,89.14262821,86.43
15,89.8036859,87.19
16,88.76201923,86.46
17,90.05408654,86.62
18,89.70352564,87.18
19,89.60336538,87
20,89.83373397,87.2
21,90.33453526,86.6
22,90.34455128,86.74
23,88.62179487,86.97
24,90.40464744,87.09
25,90.07411859,87.97
26,90.12419872,87.15
27,90.05408654,87.47
28,89.99399038,87.94
29,90.38461538,87.15
30,90.64503205,87.48
31,90.39463141,87.79
32,90.46474359,87.42
33,90.36458333,87.98
34,90.70512821,88.3
35,90.57491987,87.9
36,90.37459936,87.78
37,90.68509615,87.6
38,90.83533654,88.17
39,90.92548077,88.25
40,90.57491987,88.31
41,90.87540064,88.32
42,91.22596154,88.1
43,90.9755609,88.59
44,90.87540064,88.01
45,91.07572115,88.27
46,91.11578526,88.71
47,90.54487179,88.56
48,90.85536859,88.36
49,91.16586538,88.49
50,91.31610577,89
51,91.41626603,88.01
52,91.16586538,88.64
53,90.85536859,88.17
54,91.07572115,88.4
55,91.15584936,88
56,91.04567308,88.74
57,90.67508013,89.21
58,91.50641026,88.61
59,91.33613782,88.87
